都道府県,気温,湿度,風速,日射量,乾燥時間(分)
北海道,23.6,47,2.4,0.86,268
北海道,13.4,65,4.5,0.29,431
北海道,14.6,37,1.5,0.98,291
北海道,30.4,46,2.4,0.95,198
北海道,30.4,50,1.3,0.44,298
北海道,12.6,53,0.7,0.9,417
北海道,34.5,34,4.5,0.62,108
北海道,24.5,31,1.4,0.59,249
北海道,29.2,45,1.8,0.87,230
北海道,18.9,50,1.3,0.31,371
青森県,11.1,60,2.2,0.63,420
青森県,33.3,87,3.2,0.45,359
青森県,19.1,42,1.7,0.32,335
青森県,28.3,50,0.9,0.52,295
青森県,22.7,35,2.9,0.99,171
青森県,30.1,75,1.9,0.67,329
青森県,23.5,48,1.0,0.38,350
青森県,16.4,68,1.4,0.69,425
青森県,29.5,77,3.2,0.38,361
青森県,25.6,89,4.9,0.25,417
岩手県,10.6,40,4.7,0.96,259
岩手県,23.7,46,2.6,0.73,239
岩手県,22.5,73,2.9,0.1,422
岩手県,20.1,51,2.8,0.5,294
岩手県,12.3,46,4.7,0.12,361
岩手県,34.8,90,1.0,0.7,370
岩手県,23.1,40,4.7,0.32,225
岩手県,14.7,55,3.2,0.74,330
岩手県,22.2,49,3.1,0.5,271
岩手県,15.2,57,2.7,0.91,330
宮城県,28.2,76,2.2,0.41,372
宮城県,12.8,38,2.6,0.24,348
宮城県,34.0,80,2.8,0.3,334
宮城県,19.7,45,1.8,0.87,267
宮城県,21.8,70,4.1,0.33,356
宮城県,34.0,87,2.7,0.67,317
宮城県,28.3,84,1.2,0.47,420
宮城県,20.6,81,4.3,0.16,416
宮城県,17.5,89,0.7,0.54,519
宮城県,20.8,66,4.5,0.6,294
秋田県,22.3,49,1.7,0.59,312
秋田県,29.9,87,3.6,0.54,362
秋田県,22.1,88,1.5,0.47,478
秋田県,11.5,37,1.3,0.66,345
秋田県,21.0,80,1.6,0.27,485
秋田県,24.0,72,3.2,0.6,361
秋田県,31.5,85,4.3,0.33,352
秋田県,28.2,55,1.4,0.74,287
秋田県,16.0,81,4.2,0.57,453
秋田県,13.4,78,4.8,0.8,397
山形県,16.0,82,4.1,0.16,486
山形県,13.4,71,5.0,0.36,406
山形県,29.0,33,2.0,0.95,156
山形県,33.2,41,0.6,0.27,255
山形県,23.0,60,4.1,0.87,262
山形県,20.5,33,0.5,0.81,242
山形県,16.9,73,2.4,0.23,460
山形県,30.1,31,0.7,0.61,176
山形県,27.2,74,2.7,0.43,359
山形県,18.0,36,0.8,0.18,356
福島県,27.1,71,1.6,0.68,352
福島県,31.4,43,0.8,0.81,189
福島県,23.7,77,4.6,0.53,366
福島県,25.0,60,1.9,0.59,305
福島県,33.1,88,2.3,0.82,317
福島県,11.3,32,1.1,0.3,362
福島県,30.7,47,4.0,0.55,180
福島県,33.0,87,3.7,0.72,301
福島県,23.7,52,4.9,0.16,272
福島県,24.4,61,3.0,0.68,294
茨城県,14.6,46,1.2,0.13,385
茨城県,12.7,53,2.2,0.7,354
茨城県,16.1,70,0.9,0.62,424
茨城県,23.0,48,2.6,0.13,288
茨城県,25.0,30,2.8,0.55,181
茨城県,21.6,72,1.3,0.68,387
茨城県,24.2,87,4.1,0.63,382
茨城県,30.3,86,4.2,0.13,354
茨城県,29.3,61,4.5,0.51,233
茨城県,23.9,41,3.6,0.11,246
栃木県,19.5,79,3.1,0.24,436
栃木県,10.8,77,1.3,0.29,523
栃木県,26.3,39,2.2,0.47,214
栃木県,22.1,61,4.1,0.82,285
栃木県,13.7,90,0.8,1.0,502
栃木県,13.3,41,1.2,0.18,386
栃木県,34.3,61,2.5,0.4,226
栃木県,13.8,79,1.5,0.18,518
栃木県,19.7,84,2.4,0.79,412
栃木県,32.3,60,0.8,0.18,299
群馬県,12.7,42,4.4,0.95,241
群馬県,31.4,44,2.8,0.41,187
群馬県,26.5,47,2.8,0.37,221
群馬県,24.2,59,1.1,0.59,314
群馬県,15.0,70,3.0,0.31,399
群馬県,31.2,57,1.0,0.91,219
群馬県,31.4,47,1.7,0.16,234
群馬県,33.6,73,3.0,0.42,269
群馬県,14.0,56,1.8,0.96,328
群馬県,10.2,64,3.1,0.22,431
埼玉県,26.8,39,2.8,0.43,180
埼玉県,13.0,33,2.5,0.79,241
埼玉県,31.3,67,2.2,0.71,259
埼玉県,32.9,36,3.5,0.42,103
埼玉県,29.1,87,1.5,0.15,407
埼玉県,26.7,66,0.6,0.45,342
埼玉県,21.5,31,2.2,0.61,190
埼玉県,17.7,65,2.8,0.89,324
埼玉県,16.8,48,1.9,0.19,356
埼玉県,18.5,47,4.8,1.0,179
千葉県,18.4,59,4.2,0.19,340
千葉県,29.3,79,0.7,0.71,341
千葉県,34.1,72,2.3,0.29,283
千葉県,27.9,70,4.3,0.95,227
千葉県,21.7,36,3.1,0.98,170
千葉県,20.9,79,1.5,0.47,411
千葉県,28.3,68,4.0,0.96,224
千葉県,15.2,34,1.6,0.8,244
千葉県,19.4,65,1.6,0.49,363
千葉県,31.6,81,4.7,0.47,265
東京都,34.6,59,4.4,0.47,184
東京都,27.7,75,3.2,0.87,260
東京都,26.2,46,4.4,0.26,188
東京都,25.5,63,2.6,0.84,269
東京都,20.0,67,2.8,0.55,356
東京都,33.3,65,4.5,0.72,173
東京都,18.8,79,1.6,0.93,394
東京都,22.8,48,2.5,0.75,241
東京都,17.2,43,1.9,0.62,284
東京都,22.2,77,2.3,0.79,323
神奈川県,31.5,39,3.3,0.56,117
神奈川県,34.9,51,0.9,0.98,164
神奈川県,22.0,59,2.9,0.95,247
神奈川県,33.4,75,3.8,0.19,281
神奈川県,29.1,72,4.7,0.56,259
神奈川県,20.8,59,1.1,0.27,371
神奈川県,25.0,48,1.3,0.55,263
神奈川県,29.2,85,2.0,0.71,351
神奈川県,14.3,73,2.7,0.5,413
神奈川県,29.5,64,4.3,0.4,259
新潟県,27.2,49,3.5,0.42,254
新潟県,27.7,45,3.3,0.21,256
新潟県,25.9,33,0.7,0.56,236
新潟県,26.2,87,2.8,0.74,384
新潟県,24.7,54,3.5,0.31,301
新潟県,13.0,56,1.7,0.35,448
新潟県,26.1,57,4.6,0.8,250
新潟県,16.0,42,3.6,0.48,302
新潟県,14.9,53,0.9,0.39,415
新潟県,23.1,49,3.0,0.58,286
富山県,21.6,76,4.5,0.85,340
富山県,17.2,74,2.6,0.43,459
富山県,11.8,79,2.7,0.78,461
富山県,28.4,81,4.0,0.19,375
富山県,17.8,33,5.0,0.26,235
富山県,16.0,42,3.7,1.0,235
富山県,26.4,41,4.1,0.67,189
富山県,20.0,57,1.3,0.6,362
富山県,26.9,80,3.9,0.13,402
富山県,25.1,30,0.6,0.23,281
石川県,16.6,34,1.7,0.31,317
石川県,32.0,43,0.9,0.77,210
石川県,22.6,65,2.1,0.6,358
石川県,16.7,74,1.7,0.64,453
石川県,18.5,34,2.7,0.74,260
石川県,24.8,36,3.7,0.36,199
石川県,27.8,46,2.0,0.24,293
石川県,24.3,88,3.6,0.54,409
石川県,20.5,87,1.1,0.57,493
石川県,26.3,64,1.3,0.65,345
福井県,11.9,70,1.5,0.3,504
福井県,17.3,62,2.7,0.49,377
福井県,20.2,46,0.9,0.83,280
福井県,12.0,72,1.4,0.19,503
福井県,28.1,54,3.2,0.56,266
福井県,11.0,59,4.9,0.14,421
福井県,24.5,34,1.8,0.73,212
福井県,33.9,65,3.2,0.88,205
