地方,気温,湿度,風速,日射量,乾燥時間
四国,19.4,69,1.0,0.25,438
沖縄,33.8,35,4.6,0.35,123
北海道,28.3,40,2.8,0.26,265
沖縄,25.0,84,4.2,0.18,413
九州,13.9,66,1.9,0.21,407
近畿,13.9,31,4.5,0.51,199
関東,11.5,36,2.3,0.29,319
四国,31.7,70,0.5,0.43,332
九州,25.0,30,4.6,0.55,121
近畿,27.7,40,0.9,0.72,185
中国,10.5,63,1.9,0.14,478
北海道,34.2,72,4.8,0.82,213
北陸,30.8,69,4.8,0.67,243
北陸,15.3,43,3.1,0.17,336
沖縄,14.5,73,3.3,0.89,370
中部,14.6,44,2.5,0.93,251
近畿,17.6,50,1.8,0.15,340
中国,23.1,75,2.0,0.35,415
九州,20.8,69,3.5,0.83,282
北海道,17.3,81,3.9,0.77,459
近畿,25.3,69,4.1,0.27,325
中国,13.5,64,4.1,0.29,401
関東,17.3,36,0.9,0.43,279
四国,19.2,52,2.7,0.54,317
北陸,21.4,46,0.8,0.66,307
九州,29.6,45,3.0,0.43,180
北陸,15.0,88,2.5,0.52,555
九州,22.9,54,4.5,0.77,202
沖縄,24.8,84,2.1,0.13,462
中部,11.2,68,1.0,0.33,473
九州,25.2,78,1.1,0.74,351
北陸,14.3,60,3.9,0.91,368
沖縄,11.6,65,3.3,0.56,399
九州,33.7,60,1.0,0.58,258
関東,34.1,42,0.9,0.2,217
中部,30.2,73,3.7,0.5,274
九州,17.6,47,0.8,0.58,321
沖縄,12.4,31,4.2,0.32,290
近畿,27.1,69,3.7,0.34,309
東北,21.0,41,0.9,0.44,289
中国,13.1,86,0.9,0.12,560
東北,22.4,87,4.9,0.39,408
東北,10.9,85,2.2,0.29,558
北海道,32.7,52,2.2,0.39,263
関東,16.5,31,4.2,0.21,240
近畿,26.6,86,4.8,0.9,274
四国,17.8,56,4.9,0.63,283
九州,23.0,88,3.9,0.71,368
中国,23.7,88,2.2,0.81,405
中部,14.6,81,0.9,0.55,506
近畿,34.2,48,4.0,0.18,181
北陸,29.4,53,3.0,0.58,250
四国,33.5,81,2.4,0.63,304
北海道,32.4,49,4.6,0.77,133
北海道,24.9,40,1.0,0.49,288
近畿,33.0,63,2.7,0.21,266
沖縄,12.2,86,0.6,0.36,569
東北,14.9,72,2.6,0.43,433
北陸,11.1,64,0.8,0.68,453
北海道,18.1,36,1.0,0.61,321
中国,19.7,67,1.0,0.42,406
北海道,16.8,89,3.4,0.99,456
中部,30.7,38,3.9,0.65,121
九州,18.9,61,3.1,0.31,339
北海道,17.0,83,4.8,0.19,482
中部,23.6,74,2.2,0.24,389
近畿,13.5,72,1.8,0.32,462
近畿,30.1,72,4.4,0.24,278
四国,11.9,52,1.5,0.27,407
北海道,34.7,48,4.8,0.36,166
中国,29.3,79,0.6,0.26,406
北海道,15.0,79,4.9,0.91,389
中国,10.1,82,0.7,0.17,594
関東,30.4,85,4.5,0.57,285
四国,27.7,61,2.9,0.47,274
関東,28.2,60,5.0,0.98,160
北海道,29.3,78,0.8,0.2,452
四国,11.9,69,3.0,0.46,438
関東,19.0,72,4.9,0.97,307
東北,12.9,78,2.9,0.88,420
北海道,31.6,83,3.3,0.84,324
関東,25.6,50,3.6,0.33,253
東北,18.3,53,2.5,0.25,368
東北,11.6,36,3.3,0.7,309
近畿,17.8,65,3.1,0.94,302
北海道,18.1,32,4.6,0.6,243
東北,28.2,58,0.7,0.61,344
近畿,25.9,63,1.8,0.35,316
関東,32.2,47,4.8,0.79,99
中部,21.8,65,4.5,0.27,347
北海道,13.0,32,2.6,0.39,346
四国,27.8,32,3.3,0.48,144
中国,29.0,79,1.7,0.56,348
中国,24.0,52,1.3,0.32,311
関東,29.3,38,2.6,0.2,174
沖縄,22.3,61,2.1,0.65,311
沖縄,23.1,76,3.1,0.36,371
関東,20.7,43,0.8,0.62,265
東北,10.6,67,4.9,0.24,442
北海道,12.7,35,4.9,0.53,280
中国,10.8,33,3.6,0.58,298
中国,25.9,62,2.9,0.15,312
東北,17.9,62,1.9,0.4,423
中国,22.7,68,4.2,0.22,342
四国,32.7,74,3.6,0.16,304
北海道,16.2,89,1.2,0.99,500
