気温(C),湿度(%),風速(m/s),乾く時間(時間)
22.5,42.0,3.4,6.38
34.0,72.0,0.9,7.05
29.6,56.0,1.2,7.5
27.0,65.0,4.5,6.86
18.1,85.0,3.2,8.52
18.1,52.0,0.5,8.34
16.2,61.0,1.0,8.6
32.3,78.0,3.5,7.22
27.0,51.0,0.5,6.93
29.2,44.0,1.2,6.29
15.4,54.0,3.0,8.14
34.4,48.0,3.6,5.45
31.6,86.0,3.4,7.14
19.2,80.0,1.5,9.16
18.6,72.0,3.7,8.09
18.7,84.0,1.6,9.27
21.1,80.0,2.0,9.42
25.5,49.0,3.9,6.37
23.6,85.0,3.4,7.99
20.8,67.0,4.3,7.83
27.2,80.0,3.5,8.35
17.8,85.0,3.1,9.5
20.8,56.0,0.9,7.56
22.3,46.0,2.2,6.8
24.1,51.0,1.7,7.55
30.7,61.0,1.6,6.69
19.0,81.0,4.9,8.44
25.3,83.0,2.3,8.67
26.8,40.0,4.5,5.16
15.9,66.0,3.3,8.35
27.2,61.0,4.1,5.59
18.4,51.0,2.8,7.21
16.3,46.0,3.1,7.34
34.0,57.0,2.7,5.58
34.3,87.0,1.4,8.32
31.2,56.0,3.8,5.51
21.1,66.0,1.8,8.1
17.0,75.0,0.6,9.58
28.7,58.0,3.4,6.88
23.8,89.0,1.3,8.75
17.4,88.0,4.7,9.24
24.9,53.0,4.8,6.21
15.7,65.0,4.6,7.68
33.2,55.0,2.2,6.26
20.2,54.0,0.6,8.18
28.3,42.0,4.7,5.12
21.2,70.0,2.4,8.27
25.4,65.0,4.8,6.64
25.9,43.0,4.8,5.6
18.7,54.0,4.3,7.35
34.4,85.0,1.8,8.07
30.5,52.0,2.2,5.9
33.8,47.0,4.3,5.65
32.9,64.0,1.9,6.11
27.0,89.0,1.3,8.8
33.4,52.0,3.0,5.87
16.8,74.0,4.7,8.34
18.9,78.0,3.6,8.36
15.9,52.0,3.1,7.7
21.5,76.0,0.9,8.81
22.8,58.0,3.3,7.03
20.4,72.0,5.0,7.9
31.6,72.0,1.1,7.56
22.1,67.0,2.8,7.63
20.6,45.0,4.4,6.69
25.9,82.0,3.8,7.93
17.8,56.0,3.6,7.82
31.0,49.0,3.7,5.83
16.5,42.0,2.1,7.24
34.7,70.0,1.8,6.59
30.4,74.0,4.1,7.02
19.0,41.0,4.1,6.7
15.1,66.0,4.4,8.14
31.3,51.0,4.6,5.46
29.1,72.0,2.8,7.66
29.6,49.0,2.8,5.88
30.4,75.0,4.1,7.01
16.5,59.0,3.4,7.9
22.2,87.0,3.7,8.52
17.3,47.0,4.1,7.37
32.3,57.0,4.5,5.88
27.5,46.0,2.0,6.63
21.6,86.0,2.2,9.45
16.3,84.0,0.9,9.97
21.2,53.0,3.1,7.37
21.5,73.0,0.7,8.78
29.6,81.0,2.6,7.81
27.8,68.0,2.9,7.14
32.7,66.0,1.8,6.89
24.4,52.0,3.2,6.9
17.4,45.0,0.6,7.71
29.3,85.0,0.7,9.16
30.2,85.0,4.2,7.06
26.2,72.0,2.1,7.44
30.4,57.0,1.1,7.22
24.9,57.0,2.9,7.27
25.5,76.0,4.0,7.76
23.6,85.0,1.5,9.16
15.5,84.0,3.3,9.36
17.2,79.0,0.9,9.36
