地方,気温(C),湿度(%),風速(m/s),乾く時間(時間)
北海道,15.6,41.0,3.6,7.12
北海道,24.3,59.0,1.3,7.45
北海道,21.0,49.0,1.6,8.1
北海道,19.0,55.0,4.6,7.3
北海道,12.3,67.0,3.4,8.25
北海道,12.3,47.0,1.0,8.64
北海道,10.9,52.0,1.4,8.69
北海道,23.0,63.0,3.7,7.53
北海道,19.0,47.0,1.0,7.52
北海道,20.6,42.0,1.6,7.11
北海道,10.3,49.0,3.2,8.39
北海道,24.5,45.0,3.8,6.43
北海道,22.5,68.0,3.6,7.25
北海道,13.2,64.0,1.9,8.96
北海道,12.7,59.0,3.8,8.13
北海道,12.8,66.0,1.9,9.0
北海道,14.6,64.0,2.3,9.3
北海道,17.9,46.0,4.0,7.06
北海道,16.5,67.0,3.6,7.9
北海道,14.4,56.0,4.4,8.04
北海道,19.2,64.0,3.6,8.46
北海道,12.1,67.0,3.3,9.22
北海道,14.4,50.0,1.4,7.88
北海道,15.5,43.0,2.5,7.42
北海道,16.8,47.0,2.1,8.08
北海道,21.8,53.0,2.0,7.22
北海道,13.0,65.0,4.9,8.33
北海道,17.7,66.0,2.6,8.63
北海道,18.9,40.0,4.6,6.1
北海道,10.7,55.0,3.5,8.41
北海道,19.1,53.0,4.2,6.11
北海道,12.6,47.0,3.0,7.62
北海道,11.0,44.0,3.3,7.79
北海道,24.2,50.0,3.0,6.33
北海道,24.5,68.0,1.8,8.43
北海道,22.1,50.0,3.9,6.23
北海道,14.6,56.0,2.1,8.26
北海道,11.5,61.0,1.1,9.39
北海道,20.3,51.0,3.6,7.47
北海道,16.6,69.0,1.7,8.52
北海道,11.8,69.0,4.8,8.94
北海道,17.4,48.0,4.8,6.84
北海道,10.5,55.0,4.7,7.79
北海道,23.6,49.0,2.5,7.01
北海道,13.9,49.0,1.1,8.5
北海道,19.9,41.0,4.7,6.07
北海道,14.7,58.0,2.7,8.36
北海道,17.8,55.0,4.9,7.04
北海道,18.2,42.0,4.9,6.47
北海道,12.8,48.0,4.4,7.76
北海道,24.5,67.0,2.2,8.24
北海道,21.6,47.0,2.5,6.63
北海道,24.1,44.0,4.4,6.64
北海道,23.4,55.0,2.3,6.66
北海道,19.0,70.0,1.7,8.65
北海道,23.8,47.0,3.2,6.71
北海道,11.3,60.0,4.7,8.31
北海道,12.9,63.0,3.8,8.27
北海道,10.7,47.0,3.3,8.03
北海道,14.9,62.0,1.4,8.74
北海道,15.8,51.0,3.5,7.44
北海道,14.1,59.0,5.0,8.03
北海道,22.4,59.0,1.6,7.9
北海道,15.4,56.0,3.1,7.83
北海道,14.2,43.0,4.5,7.35
北海道,18.1,65.0,4.0,7.98
北海道,12.1,50.0,3.8,8.13
北海道,22.0,46.0,3.8,6.68
北海道,11.1,41.0,2.4,7.75
北海道,24.8,58.0,2.2,7.09
北海道,21.6,60.0,4.2,7.38
北海道,13.0,40.0,4.2,7.38
北海道,10.1,55.0,4.5,8.21
北海道,22.2,47.0,4.7,6.31
北海道,20.6,59.0,3.0,7.97
北海道,20.9,45.0,3.0,6.67
北海道,21.6,61.0,4.2,7.35
北海道,11.1,52.0,3.6,8.11
北海道,15.4,68.0,3.8,8.35
北海道,11.7,44.0,4.2,7.87
北海道,22.9,50.0,4.6,6.64
北海道,19.3,43.0,2.4,7.39
北海道,15.0,68.0,2.5,9.23
北海道,11.0,66.0,1.4,9.6
北海道,14.7,48.0,3.3,7.84
北海道,14.9,60.0,1.1,8.77
北海道,20.9,65.0,2.9,7.95
北海道,19.6,57.0,3.2,7.49
北海道,23.3,56.0,2.1,7.38
北海道,17.1,47.0,3.4,7.48
北海道,11.8,43.0,1.1,8.14
北海道,20.7,67.0,1.1,9.14
北海道,21.4,67.0,4.3,7.19
北海道,18.4,59.0,2.4,7.64
北海道,21.6,50.0,1.5,7.82
北海道,17.4,50.0,3.1,7.75
北海道,17.8,62.0,4.1,7.91
北海道,16.4,67.0,1.9,9.01
北海道,10.4,67.0,3.5,9.03
北海道,11.6,63.0,1.3,9.1
関東,16.0,74.0,2.7,9.34
関東,24.9,61.0,1.8,7.62
関東,22.9,60.0,2.1,7.69
関東,31.0,55.0,3.1,5.95
関東,21.3,47.0,0.6,7.46
関東,17.1,75.0,1.4,9.17
関東,17.6,73.0,3.0,8.78
関東,28.7,80.0,3.6,7.34
関東,26.1,80.0,2.3,8.26
関東,16.8,64.0,2.4,9.12
